OCCUPATION,REGION,STEM_PROFESSION,EDUCATION,INCOME,GENDER,ETHNICITY,ETHNICITY_GROUPED,RACE,RACE_GROUPED
Other Health Care Practitioner,Midwest,yes,Bachelors degree,"30,000-49,999",female,White,White,White,White
"Life, Physical, and Social Sciences",Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",female,White,White,White,White
Computer and Mathematical,South,yes,"Masters, Professional or Doctorate degree",">=100,000",female,White,White,White,White
Health Technologist or Technician,West,yes,Bachelors degree,"75,000-99,999",female,White,White,White,White
Computer and Mathematical,West,yes,"Masters, Professional or Doctorate degree",">=100,000",male,Asian,Non-White,Asian,Non-White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree",">=100,000",male,Asian,Non-White,Other,Non-White
Computer and Mathematical,Midwest,yes,Bachelors degree,"75,000-99,999",male,White,White,White,White
Health Technologist or Technician,West,yes,"Masters, Professional or Doctorate degree",">=100,000",male,Asian,Non-White,Asian,Non-White
"Life, Physical, and Social Sciences",West,yes,Bachelors degree,">=100,000",male,Asian,Non-White,Asian,Non-White
Computer and Mathematical,Midwest,yes,"Masters, Professional or Doctorate degree","50,000-74,999",male,Black,Non-White,Black,Non-White
Health Technologist or Technician,Midwest,yes,"Some college, including Associate degree",">=100,000",female,White,White,White,White
Architecture and Engineering,South,yes,"Masters, Professional or Doctorate degree",">=100,000",male,Asian,Non-White,Asian,Non-White
Other Health Care Practitioner,Northeast,yes,High school graduate or less,"75,000-99,999",female,Hispanic,Non-White,White,White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree",">=100,000",female,Hispanic,Non-White,White,White
Other Health Care Practitioner,West,yes,Bachelors degree,"50,000-74,999",male,White,White,White,White
"Life, Physical, and Social Sciences",West,yes,"Masters, Professional or Doctorate degree","50,000-74,999",female,White,White,White,White
Computer and Mathematical,Midwest,yes,Bachelors degree,">=100,000",male,White,White,White,White
Other Health Care Practitioner,South,yes,Bachelors degree,">=100,000",female,White,White,White,White
Computer and Mathematical,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",male,White,White,White,White
Teacher,South,yes,"Masters, Professional or Doctorate degree","75,000-99,999",male,Black,Non-White,Black,Non-White
Computer and Mathematical,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",female,White,White,White,White
Computer and Mathematical,South,yes,"Masters, Professional or Doctorate degree","75,000-99,999",female,White,White,White,White
Other Health Care Practitioner,South,yes,Bachelors degree,"75,000-99,999",female,White,White,White,White
Other Health Care Practitioner,Northeast,yes,Bachelors degree,"30,000-49,999",female,Black,Non-White,Black,Non-White
Other Health Care Practitioner,Midwest,yes,"Some college, including Associate degree",">=100,000",female,White,White,White,White
Other Health Care Practitioner,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",female,White,White,White,White
Computer and Mathematical,Midwest,yes,"Some college, including Associate degree","75,000-99,999",male,White,White,White,White
Architecture and Engineering,South,yes,Bachelors degree,"75,000-99,999",male,White,White,White,White
"Life, Physical, and Social Sciences",West,yes,Bachelors degree,"<30,000",female,White,White,White,White
Architecture and Engineering,Northeast,yes,Bachelors degree,">=100,000",male,White,White,White,White
Computer and Mathematical,South,yes,Bachelors degree,">=100,000",male,White,White,White,White
Computer and Mathematical,Midwest,yes,Bachelors degree,">=100,000",male,White,White,White,White
Architecture and Engineering,West,yes,"Some college, including Associate degree","<30,000",male,Hispanic,Non-White,White,White
Other Health Care Practitioner,Northeast,yes,Bachelors degree,"50,000-74,999",female,White,White,White,White
Computer and Mathematical,West,yes,Bachelors degree,"50,000-74,999",female,Hispanic,Non-White,White,White
Other Health Care Practitioner,Northeast,yes,"Some college, including Associate degree","50,000-74,999",female,White,White,White,White
Computer and Mathematical,South,yes,Bachelors degree,">=100,000",male,White,White,White,White
Computer and Mathematical,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",female,Asian,Non-White,Asian,Non-White
Other Health Care Practitioner,Northeast,yes,Bachelors degree,">=100,000",female,White,White,White,White
Other Health Care Practitioner,South,yes,Bachelors degree,"75,000-99,999",female,Hispanic,Non-White,White,White
Other Health Care Practitioner,Northeast,yes,"Masters, Professional or Doctorate degree","50,000-74,999",male,White,White,White,White
Computer and Mathematical,Midwest,yes,"Masters, Professional or Doctorate degree","<30,000",male,White,White,White,White
Architecture and Engineering,Northeast,yes,"Some college, including Associate degree",">=100,000",male,White,White,White,White
Other Health Care Practitioner,South,yes,Bachelors degree,">=100,000",female,Asian,Non-White,Asian,Non-White
Computer and Mathematical,South,yes,"Some college, including Associate degree","30,000-49,999",male,White,White,White,White
Other Health Care Practitioner,South,yes,"Some college, including Associate degree","50,000-74,999",female,Black,Non-White,Black,Non-White
Architecture and Engineering,West,yes,"Some college, including Associate degree","75,000-99,999",male,Hispanic,Non-White,Other,Non-White
Computer and Mathematical,South,yes,Bachelors degree,"75,000-99,999",female,White,White,White,White
Computer and Mathematical,South,yes,Bachelors degree,">=100,000",male,White,White,White,White
Other Health Care Practitioner,West,yes,"Some college, including Associate degree","30,000-49,999",female,White,White,White,White
Computer and Mathematical,Northeast,yes,"Masters, Professional or Doctorate degree","50,000-74,999",female,White,White,White,White
Other Health Care Practitioner,West,yes,Bachelors degree,"50,000-74,999",female,Asian,Non-White,Asian,Non-White
Other Health Care Practitioner,Midwest,yes,"Some college, including Associate degree","50,000-74,999",female,White,White,White,White
Health Technologist or Technician,Northeast,yes,"Some college, including Associate degree",">=100,000",female,White,White,White,White
Health Technologist or Technician,West,yes,"Some college, including Associate degree","50,000-74,999",female,White,White,White,White
Computer and Mathematical,South,yes,"Some college, including Associate degree","30,000-49,999",female,White,White,White,White
Other Health Care Practitioner,Northeast,yes,Bachelors degree,">=100,000",female,White,White,White,White
"Life, Physical, and Social Sciences",West,yes,Bachelors degree,">=100,000",female,White,White,White,White
Computer and Mathematical,South,yes,"Masters, Professional or Doctorate degree",">=100,000",male,White,White,White,White
Other Health Care Practitioner,Midwest,yes,"Masters, Professional or Doctorate degree","75,000-99,999",female,White,White,White,White
Architecture and Engineering,South,yes,Bachelors degree,"75,000-99,999",female,White,White,White,White
Teacher,Midwest,yes,"Masters, Professional or Doctorate degree","50,000-74,999",male,White,White,White,White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree",">=100,000",male,Hispanic,Non-White,White,White
Other Health Care Practitioner,South,yes,"Some college, including Associate degree","<30,000",female,White,White,White,White
Architecture and Engineering,Northeast,yes,Bachelors degree,"<30,000",female,Asian,Non-White,Asian,Non-White
Computer and Mathematical,West,yes,Bachelors degree,">=100,000",male,White,White,White,White
Other Health Care Practitioner,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",male,White,White,White,White
Computer and Mathematical,Northeast,yes,Bachelors degree,">=100,000",male,White,White,White,White
Computer and Mathematical,South,yes,Bachelors degree,">=100,000",female,White,White,White,White
Computer and Mathematical,West,yes,"Some college, including Associate degree","75,000-99,999",male,Hispanic,Non-White,White,White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree","75,000-99,999",male,White,White,White,White
Computer and Mathematical,West,yes,"Some college, including Associate degree",">=100,000",male,White,White,White,White
Architecture and Engineering,West,yes,"Masters, Professional or Doctorate degree","75,000-99,999",male,White,White,White,White
Teacher,South,yes,"Masters, Professional or Doctorate degree","30,000-49,999",female,White,White,White,White
Computer and Mathematical,West,yes,Bachelors degree,"75,000-99,999",male,White,White,White,White
Health Technologist or Technician,South,yes,"Some college, including Associate degree","75,000-99,999",female,White,White,White,White
Other Health Care Practitioner,West,yes,Bachelors degree,">=100,000",female,White,White,White,White
Architecture and Engineering,Midwest,yes,Bachelors degree,">=100,000",female,White,White,White,White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree","50,000-74,999",female,White,White,White,White
"Life, Physical, and Social Sciences",Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",male,White,White,White,White
Other Health Care Practitioner,South,yes,"Masters, Professional or Doctorate degree","75,000-99,999",female,White,White,White,White
Architecture and Engineering,Midwest,yes,"Some college, including Associate degree","50,000-74,999",male,Black,Non-White,Black,Non-White
Computer and Mathematical,South,yes,Bachelors degree,">=100,000",male,White,White,White,White
Computer and Mathematical,West,yes,Bachelors degree,"50,000-74,999",male,White,White,White,White
Computer and Mathematical,Northeast,yes,Bachelors degree,"50,000-74,999",male,White,White,White,White
Other Health Care Practitioner,South,yes,Bachelors degree,"50,000-74,999",female,White,White,White,White
Other Health Care Practitioner,West,yes,Bachelors degree,">=100,000",female,Asian,Non-White,Asian,Non-White
Other Health Care Practitioner,South,yes,"Some college, including Associate degree",">=100,000",female,White,White,White,White
"Life, Physical, and Social Sciences",South,yes,Bachelors degree,"75,000-99,999",male,Hispanic,Non-White,White,White
Other Health Care Practitioner,Northeast,yes,"Masters, Professional or Doctorate degree",">=100,000",female,White,White,White,White
Other Health Care Practitioner,South,yes,"Some college, including Associate degree",">=100,000",female,White,White,White,White
